run,overall_training,batch_size,threshold,learning_rate,weight_decay,t_max,eta_min,best_val_epoch,best_val_loss,best_val_acc,best_val_prec,best_val_rec,best_val_F1,stop_epoch,val_loss,val_acc,val_prec,val_rec,val_F1
1,True,16,0.5,1e-05,1e-06,50,1e-06,10,0.38936224579811096,0.8418418169021606,0.8918803334236145,0.8049027919769287,0.8458588719367981,26,0.3723631203174591,0.8365474343299866,0.8862403035163879,0.8005558252334595,0.8408119678497314
2,True,16,0.6,1e-05,1e-06,50,1e-06,35,0.36891481280326843,0.8512008786201477,0.930025577545166,0.7834665179252625,0.8503192663192749,50,0.37388888001441956,0.8469019532203674,0.9094439148902893,0.7960543036460876,0.8487087488174438
3,True,16,0.7,1e-05,1e-06,50,1e-06,14,0.3879053592681885,0.8422380685806274,0.9344654083251953,0.7617603540420532,0.838961660861969,30,0.37162017822265625,0.8329305648803711,0.9585801362991333,0.7223449945449829,0.8234260082244873
4,True,16,0.5,0.0001,1e-06,50,1e-06,6,0.3318115174770355,0.8584408164024353,0.9351303577423096,0.7936457991600037,0.8579814434051514,22,0.3292216360569,0.8506988883018494,0.8918498754501343,0.8231974244117737,0.8560247421264648
5,True,16,0.6,0.0001,1e-06,50,1e-06,24,0.3283841907978058,0.8550191521644592,0.9483444094657898,0.7739861011505127,0.85199373960495,40,0.336405873298645,0.8476523160934448,0.9314432144165039,0.774920642375946,0.8457849621772766
6,True,16,0.7,0.0001,1e-06,50,1e-06,40,0.33741313219070435,0.8522425293922424,0.9468145966529846,0.7696446776390076,0.8489276170730591,50,0.3366686999797821,0.8489505052566528,0.9523469805717468,0.7583718299865723,0.8441464900970459
7,True,16,0.5,0.001,1e-06,50,1e-06,6,0.3626469373703003,0.8423318266868591,0.8895138502120972,0.8078033328056335,0.8465955853462219,22,0.5448168516159058,0.8377019762992859,0.8891240358352661,0.7992529273033142,0.8416923880577087
8,True,16,0.6,0.001,1e-06,50,1e-06,0,0.352524071931839,0.8492737412452698,0.949796736240387,0.7613085508346558,0.8450717926025391,16,0.48213908076286316,0.8348991870880127,0.8967075347900391,0.7850902676582336,0.8370967507362366
9,True,16,0.7,0.001,1e-06,50,1e-06,10,0.48812761902809143,0.8414038419723511,0.9410991668701172,0.7538648843765259,0.8367851376533508,26,0.7980358004570007,0.8259198069572449,0.8873535394668579,0.776348888874054,0.8279025554656982
10,True,16,0.5,0.01,1e-06,50,1e-06,0,7.311683177947998,0.5396897196769714,0.5396897196769714,1.0,0.7008774280548096,16,47.218257904052734,0.5396897196769714,0.5396897196769714,1.0,0.7008774280548096
11,True,16,0.6,0.01,1e-06,50,1e-06,0,4.553160190582275,0.5396897196769714,0.5396897196769714,1.0,0.7008774280548096,16,47.218257904052734,0.5396897196769714,0.5396897196769714,1.0,0.7008774280548096
12,True,16,0.7,0.01,1e-06,50,1e-06,0,52.781742095947266,0.46031033992767334,0.0,0.0,0.0,16,52.781742095947266,0.46031033992767334,0.0,0.0,0.0
13,True,32,0.5,1e-05,1e-06,50,1e-06,12,0.38647860288619995,0.8456874489784241,0.8837628364562988,0.8217236399650574,0.8515725135803223,28,0.36593344807624817,0.8455606698989868,0.8889682292938232,0.815629780292511,0.8505702614784241
14,True,32,0.6,1e-05,1e-06,50,1e-06,10,0.3942447900772095,0.8418678641319275,0.8935739994049072,0.8021440505981445,0.8453494310379028,26,0.37273237109184265,0.8354622721672058,0.8934775590896606,0.7895175814628601,0.8379439115524292
15,True,32,0.7,1e-05,1e-06,50,1e-06,25,0.37294435501098633,0.8488017916679382,0.940284013748169,0.7685458064079285,0.8456090092658997,41,0.3706537187099457,0.8456235527992249,0.9315500855445862,0.7705647349357605,0.8432826995849609
16,True,32,0.5,0.0001,1e-06,50,1e-06,32,0.33549100160598755,0.8595266938209534,0.893035352230072,0.8399282097816467,0.8655809760093689,48,0.3401479125022888,0.848383903503418,0.8737250566482544,0.8401500582695007,0.856539249420166
17,True,32,0.6,0.0001,1e-06,50,1e-06,6,0.33145585656166077,0.8527510166168213,0.9395789504051208,0.7769773006439209,0.8503115773200989,22,0.3317757546901703,0.8474872708320618,0.9289498329162598,0.7767881751060486,0.8458285927772522
18,True,32,0.7,0.0001,1e-06,50,1e-06,2,0.35471704602241516,0.847007691860199,0.9504331946372986,0.755729615688324,0.841753363609314,18,0.32851871848106384,0.8373367786407471,0.9531019926071167,0.734631359577179,0.8295577168464661
19,True,32,0.5,0.001,1e-06,50,1e-06,2,0.33211690187454224,0.8496730327606201,0.9113024473190308,0.7995976209640503,0.8516775369644165,18,0.6157365441322327,0.816717267036438,0.8417734503746033,0.8131350874900818,0.8270968198776245
20,True,32,0.6,0.001,1e-06,50,1e-06,1,0.3330817222595215,0.842344343662262,0.9579917192459106,0.7402597069740295,0.8349207043647766,17,0.3535214066505432,0.8214791417121887,0.9246174097061157,0.7286493182182312,0.8149574995040894
21,True,32,0.7,0.001,1e-06,50,1e-06,1,0.33405962586402893,0.8301178216934204,0.9598554372787476,0.7149989008903503,0.8193988800048828,17,47.218257904052734,0.5391700267791748,0.5391700267791748,1.0,0.7004826068878174
22,True,32,0.5,0.01,1e-06,50,1e-06,0,47.218257904052734,0.5391700267791748,0.5391700267791748,1.0,0.7004826068878174,16,47.218257904052734,0.5391700267791748,0.5391700267791748,1.0,0.7004826068878174
23,True,32,0.6,0.01,1e-06,50,1e-06,0,47.218257904052734,0.5391700267791748,0.5391700267791748,1.0,0.7004826068878174,16,47.218257904052734,0.5391700267791748,0.5391700267791748,1.0,0.7004826068878174
24,True,32,0.7,0.01,1e-06,50,1e-06,0,52.781742095947266,0.4608299732208252,0.0,0.0,0.0,16,52.781742095947266,0.4608299732208252,0.0,0.0,0.0
25,False,16,0.5,1e-05,1e-06,50,1e-06,14,0.4289837181568146,0.8092086315155029,0.879144549369812,0.7498984932899475,0.8092120885848999,30,0.4791955351829529,0.7532855272293091,0.7484146356582642,0.8175492286682129,0.7812964916229248
26,False,16,0.6,1e-05,1e-06,50,1e-06,14,0.4289837181568146,0.8133804202079773,0.9212815165519714,0.7153674960136414,0.8052368760108948,30,0.4791955351829529,0.7804442048072815,0.8286989331245422,0.7495925426483154,0.786255419254303
27,False,16,0.7,1e-05,1e-06,50,1e-06,42,0.4257039725780487,0.8080307841300964,0.9324827790260315,0.6946255564689636,0.7959697246551514,50,0.4637990891933441,0.7937914729118347,0.886384129524231,0.7098082304000854,0.7878166437149048
28,False,16,0.5,0.0001,1e-06,50,1e-06,36,0.3715561330318451,0.8364309072494507,0.8826625943183899,0.8038443922996521,0.8413168787956238,50,0.38342151045799255,0.8241458535194397,0.8845152854919434,0.7758510708808899,0.82640141248703
29,False,16,0.6,0.0001,1e-06,50,1e-06,36,0.3715561330318451,0.8306877613067627,0.9333158135414124,0.7393799424171448,0.8249689936637878,50,0.38342151045799255,0.8224844336509705,0.9259305000305176,0.7300186157226562,0.8161415457725525
30,False,16,0.7,0.0001,1e-06,50,1e-06,20,0.38018089532852173,0.818047821521759,0.9657307863235474,0.6878432035446167,0.8030954599380493,36,0.3741896450519562,0.8087611198425293,0.9649521708488464,0.6706501245498657,0.7909635305404663
31,False,16,0.5,0.001,1e-06,50,1e-06,5,0.8051268458366394,0.8234135508537292,0.862377405166626,0.8006621599197388,0.8301519751548767,21,47.218257904052734,0.5396897196769714,0.5396897196769714,1.0,0.7008774280548096
32,False,16,0.6,0.001,1e-06,50,1e-06,2,0.4023727476596832,0.817652702331543,0.9217846393585205,0.7242863774299622,0.8108386397361755,18,6.4388651847839355,0.7429297566413879,0.90370112657547,0.5872737169265747,0.7114230990409851
33,False,16,0.7,0.001,1e-06,50,1e-06,5,0.8051268458366394,0.8175812363624573,0.8835422992706299,0.7627800107002258,0.8185470104217529,21,47.218257904052734,0.5396897196769714,0.5396897196769714,1.0,0.7008774280548096
34,False,16,0.5,0.01,1e-06,50,1e-06,40,18.154935836791992,0.8126122355461121,0.8970618844032288,0.7385652661323547,0.809676468372345,50,18.39330291748047,0.8088138699531555,0.9154273271560669,0.7127140760421753,0.8010892271995544
35,False,16,0.6,0.01,1e-06,50,1e-06,40,18.154935836791992,0.8126122355461121,0.8970618844032288,0.7385652661323547,0.809676468372345,50,18.39330291748047,0.8088138699531555,0.9154273271560669,0.7127140760421753,0.8010892271995544
36,False,16,0.7,0.01,1e-06,50,1e-06,34,18.24936294555664,0.8099215626716614,0.8925787210464478,0.7374374866485596,0.8071946501731873,50,18.39330291748047,0.8088138699531555,0.9154273271560669,0.7127140760421753,0.8010892271995544
37,False,32,0.5,1e-05,1e-06,50,1e-06,21,0.4172603189945221,0.8211959600448608,0.8846266865730286,0.7686353921890259,0.8224841952323914,37,0.40795594453811646,0.8089529871940613,0.849890947341919,0.7847312092781067,0.8158034086227417
38,False,32,0.6,1e-05,1e-06,50,1e-06,17,0.4197107255458832,0.8234821557998657,0.9247336983680725,0.7321345210075378,0.817164421081543,33,0.4192314147949219,0.8183344602584839,0.8834623098373413,0.7638649344444275,0.8192546367645264
39,False,32,0.7,1e-05,1e-06,50,1e-06,33,0.41122618317604065,0.8148208260536194,0.9311181902885437,0.7090328931808472,0.8048840165138245,49,0.40708282589912415,0.8088471293449402,0.9348335862159729,0.6940312385559082,0.7964985370635986
40,False,32,0.5,0.0001,1e-06,50,1e-06,5,0.38975661993026733,0.8247177600860596,0.8361092209815979,0.8393360376358032,0.8376255631446838,21,0.37329423427581787,0.8158153295516968,0.8317744135856628,0.8254503607749939,0.828522264957428
41,False,32,0.6,0.0001,1e-06,50,1e-06,16,0.383774071931839,0.8371224999427795,0.8874733448028564,0.7993320822715759,0.84104984998703,32,0.3694310784339905,0.835818886756897,0.9069662094116211,0.7757099866867065,0.8360555768013
42,False,32,0.7,0.0001,1e-06,50,1e-06,16,0.383774071931839,0.8283028602600098,0.9317887425422668,0.7356846928596497,0.8221163749694824,32,0.3694310784339905,0.8248096108436584,0.9537234306335449,0.7096841335296631,0.8137231469154358
43,False,32,0.5,0.001,1e-06,50,1e-06,11,0.3481910824775696,0.8487371206283569,0.9151555895805359,0.792892575263977,0.8496094346046448,27,0.39402586221694946,0.8482550978660583,0.9012949466705322,0.8068940043449402,0.8514481782913208
44,False,32,0.6,0.001,1e-06,50,1e-06,12,0.3492540121078491,0.8491422533988953,0.9441083669662476,0.7655273079872131,0.845443844795227,28,0.5560463070869446,0.7863509058952332,0.7579544186592102,0.888154149055481,0.8176069259643555
45,False,32,0.7,0.001,1e-06,50,1e-06,21,0.376703679561615,0.8565102815628052,0.9482285976409912,0.7758677005767822,0.8533833026885986,37,0.3760041296482086,0.8397654891014099,0.9438057541847229,0.747495710849762,0.8341629505157471
46,False,32,0.5,0.01,1e-06,50,1e-06,0,2.6287477016448975,0.7864398956298828,0.9673787355422974,0.6254909038543701,0.7593557834625244,16,40.02678298950195,0.5784897804260254,0.5624228715896606,0.9832948446273804,0.7154473662376404
47,False,32,0.6,0.01,1e-06,50,1e-06,0,2.6287477016448975,0.7832956910133362,0.9689799547195435,0.6183525323867798,0.7545621991157532,16,40.02678298950195,0.5792389512062073,0.5628671050071716,0.9832948446273804,0.7158077955245972
48,False,32,0.7,0.01,1e-06,50,1e-06,0,2.6287477016448975,0.7821182608604431,0.9688722491264343,0.6161907911300659,0.7529244422912598,16,40.02678298950195,0.5792521834373474,0.5628748536109924,0.9832948446273804,0.7158141136169434
